Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10800,124636160,52428800,4194304,432013312
11800,179162112,74448896,19416064,432013312
12900,65259520,0,2477056,325058560
13900,36495360,226492416,11911168,650117120
14900,43257856,165675008,44564480,650117120
15900,84934656,187695104,26214400,780140544
16900,116830208,63963136,42467328,920649728
17900,157202432,102760448,46137344,920649728
18900,177458176,318767104,69730304,1125122048
19900,177458176,444596224,69730304,1125122048
20900,177458176,537919488,69730304,1125122048
21900,244218880,33554432,39398400,1125122048
22900,244218880,141557760,39398400,1125122048
23900,244218880,234881024,39398400,1125122048
24900,244218880,353370112,52953088,1125122048
25900,244218880,467664896,52953088,1125122048
26900,257196032,510656512,49807360,1125122048
27900,277911552,84934656,50855936,1125122048
28900,277911552,180355072,50855936,1125122048
29900,291290112,311427072,50855936,1125122048
30900,291290112,399507456,50855936,1125122048
31900,291290112,488636416,50855936,1125122048
32900,324798464,30408704,48234496,1125122048
33900,324798464,118489088,48234496,1125122048
34900,338125824,327155712,45613056,1125122048
35900,350377984,23068672,48234496,1125122048
36900,350377984,205520896,48234496,1125122048
37900,370343936,536870912,30408704,1125122048
38900,370343936,274726912,50331648,1125122048
39900,370343936,377487360,50331648,1125122048
40900,391437312,228589568,40894464,1125122048
41900,391437312,450887680,40894464,1125122048
42900,413152256,211812352,38273024,1125122048
43900,413152256,364904448,38273024,1125122048
44900,413152256,452984832,38273024,1125122048
45900,435518464,413138944,38273024,1125122048
46900,444753920,131072000,42991616,1125122048
47900,444753920,325058560,42991616,1125122048
48900,467627008,56623104,44564480,1125122048
49900,467627008,334495744,44564480,1125122048
50900,480835584,383778816,36175872,1125122048
51900,489825280,432013312,34603008,1125122048
52900,504365056,283115520,31457280,1125122048
53900,517065728,81788928,37748736,1125122048
54900,517065728,311427072,37748736,1125122048
55900,527406080,4194304,31457280,1125122048
56900,536761344,227540992,36175872,1125122048
57900,547436544,0,35127296,1125122048
58900,559222784,22020096,36700160,1125122048
59900,559222784,272629760,36700160,1125122048
