Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10900,624939008,56623104,25218048,1881145344
11900,727699456,478150656,25218048,1881145344
12900,482332672,344981504,46137344,1881145344
13900,571461632,662700032,46137344,1881145344
14900,461361152,111149056,112197632,1881145344
15900,482332672,387973120,112197632,1881145344
16900,509775872,174063616,116391936,1881145344
18000,701485056,6291456,108003328,1881145344
19000,701485056,376438784,108003328,1881145344
20000,821547008,26214400,87031808,1881145344
21000,821547008,198180864,87031808,1881145344
22000,908733440,28311552,36175872,1881145344
23000,908733440,193986560,36175872,1881145344
24000,908733440,370147328,36175872,1881145344
25000,584634368,159383552,52953088,1881145344
26000,584634368,330301440,52953088,1881145344
27000,535721984,12582912,6291456,1881145344
28000,535721984,241172480,6291456,1881145344
29000,535721984,423624704,6291456,1881145344
30000,535721984,779091968,6291456,1881145344
31000,535721984,77594624,70230016,1881145344
32000,535721984,264241152,70230016,1881145344
33000,535721984,596639744,70230016,1881145344
34000,535721984,772800512,70230016,1881145344
35000,603061248,248512512,39424000,1881145344
36000,603061248,452984832,39424000,1881145344
37000,603061248,633339904,39424000,1881145344
38000,603061248,147849216,79691776,1881145344
39000,603061248,334495744,79691776,1881145344
40000,603061248,525336576,79691776,1881145344
41000,637718528,51380224,101187584,1881145344
42000,637718528,242221056,101187584,1881145344
43000,637718528,566231040,101187584,1881145344
44000,733902848,31457280,36175872,1881145344
45000,733902848,239075328,36175872,1881145344
46000,733902848,599785472,36175872,1881145344
47000,733902848,53477376,70778880,1881145344
48000,733902848,263192576,70778880,1881145344
49000,733902848,615514112,70778880,1881145344
50000,766302208,92274688,69730304,1881145344
51000,766302208,420478976,69730304,1881145344
52000,766302208,648019968,69730304,1881145344
53000,799963136,145752064,66584576,1881145344
54000,799963136,500170752,66584576,1881145344
55000,832468992,11534336,65536000,1881145344
56000,832468992,231735296,65536000,1881145344
57000,832468992,601882624,65536000,1881145344
58000,862877696,143654912,66584576,1881145344
59000,862877696,498073600,66584576,1881145344
