"time (ms)","fps"
11301,1
12026,3
13004,32
14004,83
15005,178
16003,267
17008,348
18008,415
19003,534
20005,691
21003,799
22000,953
23010,1096
24002,1217
25005,1368
26008,1480
27004,1618
28004,1766
29001,1870
30004,2017
31001,2156
32002,2272
33004,2421
34000,2531
35002,2662
36003,2808
37007,2906
38008,3051
39005,3183
40004,3294
41002,3437
42005,3545
43006,3676
44002,3814
45009,3911
46004,4034
47012,4165
48001,4271
49002,4409
50003,4516
51006,4651
52000,4799
53000,4900
54006,5045
55004,5176
56001,5281
57002,5423
58007,5539
59006,5676
60002,5827
