time (ms),fps
14891,1
15126,2
16053,62
17002,208
18002,457
19003,693
20001,1020
21003,1331
22001,1601
23002,1955
24004,2189
25000,2516
26003,2844
27002,3084
28000,3442
29003,3759
30000,4047
31000,4424
32000,4706
33000,5065
34000,5448
35000,5734
36001,6134
37000,6487
38001,6838
39001,7283
40000,7594
41000,8014
42002,8481
43000,8822
44000,9288
45002,9714
46006,10110
47000,10605
48000,10976
49002,11436
50001,11934
51002,12297
52000,12774
53003,13219
54000,13631
55001,14142
56000,14514
57001,14986
58000,15501
59001,15850
60002,16329
