time (ms),fps
15036,1
16008,50
17002,200
18002,537
19000,892
20000,1382
21000,1927
22001,2322
23000,2859
24000,3303
25000,3739
26000,4217
27001,4598
28000,5102
29000,5634
30001,6017
31000,6554
32003,7033
33009,7489
34000,8042
35001,8415
36001,8932
37000,9467
38000,9858
39000,10416
40002,10886
41000,11324
42000,11892
43000,12268
44000,12780
45001,13354
46000,13736
47001,14292
48007,14780
49000,15207
50001,15809
51000,16208
52001,16768
53002,17353
54000,17731
55001,18329
56002,18783
57001,19169
58000,19756
59001,20123
60002,20580
