"time (ms)","fps"
11732,1
12031,2
13004,84
14004,204
15002,328
16001,466
17003,597
18004,715
19013,822
20004,914
21005,981
22026,1050
23004,1107
24001,1163
25001,1259
26008,1347
27005,1419
28004,1518
29005,1583
30005,1663
31011,1763
32002,1819
33004,1909
34031,1985
35009,2045
36000,2130
37011,2190
38004,2260
39012,2347
40008,2399
41008,2478
42000,2542
43008,2602
44004,2687
45006,2741
46008,2810
47020,2892
48003,2938
49006,3011
50013,3079
51009,3135
52000,3213
53000,3265
54001,3330
55012,3409
56011,3456
57009,3527
58019,3589
59016,3641
60010,3716
