0,1
1,4
2,91
3,221
4,238
5,232
6,243
7,243
8,248
9,255
10,254
11,257
12,256
13,250
14,258
15,248
16,244
17,258
18,258
19,256
20,258
21,264
22,265
23,257
24,248
25,240
26,246
27,249
28,248
29,250
30,255
31,251
32,253
33,253
34,264
35,239
36,243
37,259
38,263
39,263
40,263
41,267
42,265
43,264
44,250
45,245
46,246
47,252
48,246
49,254
50,249
51,255
52,256
53,255
54,262
55,252
56,244
57,263
58,258
59,264
60,258
61,262
62,262
63,263
64,254
65,242
66,244
67,253
68,252
69,256
70,258
71,256
72,252
73,259
74,251
75,245
76,241
77,261
78,262
79,261
80,255
81,262
82,259
83,253
84,250
85,244
86,243
87,249
88,254
89,255
90,256
91,259
92,254
93,258
94,261
95,247
96,241
97,254
98,260
99,259
100,259
101,257
102,259
103,256
104,255
105,247
106,240
107,251
108,256
109,258
110,261
111,258
112,252
113,251
