Uptime (ms),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10800, 124.636,  52.429,   4.194, 432.013
11800, 179.162,  74.449,  19.416, 432.013
12900,  65.260,   0.000,   2.477, 325.059
13900,  36.495, 226.492,  11.911, 650.117
14900,  43.258, 165.675,  44.564, 650.117
15900,  84.935, 187.695,  26.214, 780.141
16900, 116.830,  63.963,  42.467, 920.650
17900, 157.202, 102.760,  46.137, 920.650
18900, 177.458, 318.767,  69.730,1125.122
19900, 177.458, 444.596,  69.730,1125.122
20900, 177.458, 537.919,  69.730,1125.122
21900, 244.219,  33.554,  39.398,1125.122
22900, 244.219, 141.558,  39.398,1125.122
23900, 244.219, 234.881,  39.398,1125.122
24900, 244.219, 353.370,  52.953,1125.122
25900, 244.219, 467.665,  52.953,1125.122
26900, 257.196, 510.657,  49.807,1125.122
27900, 277.912,  84.935,  50.856,1125.122
28900, 277.912, 180.355,  50.856,1125.122
29900, 291.290, 311.427,  50.856,1125.122
30900, 291.290, 399.507,  50.856,1125.122
31900, 291.290, 488.636,  50.856,1125.122
32900, 324.798,  30.409,  48.234,1125.122
33900, 324.798, 118.489,  48.234,1125.122
34900, 338.126, 327.156,  45.613,1125.122
35900, 350.378,  23.069,  48.234,1125.122
36900, 350.378, 205.521,  48.234,1125.122
37900, 370.344, 536.871,  30.409,1125.122
38900, 370.344, 274.727,  50.332,1125.122
39900, 370.344, 377.487,  50.332,1125.122
40900, 391.437, 228.590,  40.894,1125.122
41900, 391.437, 450.888,  40.894,1125.122
42900, 413.152, 211.812,  38.273,1125.122
43900, 413.152, 364.904,  38.273,1125.122
44900, 413.152, 452.985,  38.273,1125.122
45900, 435.518, 413.139,  38.273,1125.122
46900, 444.754, 131.072,  42.992,1125.122
47900, 444.754, 325.059,  42.992,1125.122
48900, 467.627,  56.623,  44.564,1125.122
49900, 467.627, 334.496,  44.564,1125.122
50900, 480.836, 383.779,  36.176,1125.122
51900, 489.825, 432.013,  34.603,1125.122
52900, 504.365, 283.116,  31.457,1125.122
53900, 517.066,  81.789,  37.749,1125.122
54900, 517.066, 311.427,  37.749,1125.122
55900, 527.406,   4.194,  31.457,1125.122
56900, 536.761, 227.541,  36.176,1125.122
57900, 547.437,   0.000,  35.127,1125.122
58900, 559.223,  22.020,  36.700,1125.122
59900, 559.223, 272.630,  36.700,1125.122
