time (ms),total frames,fps
14891,1,1
15126,2,1
16053,62,60
17002,208,146
18002,457,249
19003,693,236
20001,1020,327
21003,1331,311
22001,1601,270
23002,1955,354
24004,2189,234
25000,2516,327
26003,2844,328
27002,3084,240
28000,3442,358
29003,3759,317
30000,4047,288
31000,4424,377
32000,4706,282
33000,5065,359
34000,5448,383
35000,5734,286
36001,6134,400
37000,6487,353
38001,6838,351
39001,7283,445
40000,7594,311
41000,8014,420
42002,8481,467
43000,8822,341
44000,9288,466
45002,9714,426
46006,10110,396
47000,10605,495
48000,10976,371
49002,11436,460
50001,11934,498
51002,12297,363
52000,12774,477
53003,13219,445
54000,13631,412
55001,14142,511
56000,14514,372
57001,14986,472
58000,15501,515
59001,15850,349
60002,16329,479
