Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10.9,0,0,0,0
11.9,98,0,7,87
12.9,99,0,4,91
13.9,100,0,4,95
14.9,100,0,5,98
15.9,99,0,8,96
16.9,98,0,3,94
17.9,98,0,5,95
18.9,100,1,5,92
19.9,97,0,5,93
20.9,84,1,3,77
21.9,63,0,1,62
22.9,41,0,0,36
23.9,28,0,2,24
24.9,75,0,2,72
25.9,24,0,1,22
26.9,38,0,1,35
27.9,65,0,2,62
28.9,28,0,1,25
29.9,63,0,2,61
30.9,36,0,2,33
31.9,24,0,1,23
32.9,75,0,2,73
33.9,24,0,0,22
34.9,40,0,2,38
35.9,68,0,2,61
36.9,34,0,1,30
37.9,61,0,0,58
38.9,39,1,2,36
39.9,24,0,1,22
40.9,79,0,3,76
41.9,26,0,1,24
42.9,40,0,1,37
43.9,63,0,2,60
44.9,24,0,1,22
45.9,64,0,1,62
46.9,35,0,2,34
47.9,30,0,2,28
48.9,79,0,3,75
49.9,27,0,2,25
50.9,39,0,1,37
51.9,62,0,2,60
52.9,24,0,1,22
53.9,70,0,2,62
54.9,39,0,3,37
55.9,25,0,1,23
56.9,75,0,2,71
57.9,25,0,1,22
58.9,44,0,2,34
59.9,66,0,3,61
