dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,,15.728000000000002,
1.0,31.812000000000012,,,
1.0,,85.98300000000002,,
1.0,29.579999999999984,154.14099999999996,1.5730000000000004,
1.0,18.072000000000003,,3.144999999999996,
1.0,,92.275,,
1.0000000000000036,51.160000000000025,,,
1.0,,88.081,,
1.0,10.356999999999971,69.206,0.5249999999999986,
1.0,32.202,30.407999999999987,,
1.0,,85.98400000000001,,
1.0,33.65899999999999,,,
1.0,12.444000000000074,,1.0489999999999995,
1.0,1.0489999999999782,91.22599999999998,,
1.0,46.105999999999995,,,
1.0,,88.08,,
1.0,18.896999999999935,,,
1.0,29.63900000000001,,3.145000000000003,
1.0,,102.76,,
1.0,33.662000000000035,10.48599999999999,,
1.0,11.947999999999979,,,
1.0,,95.42099999999999,,
1.0,41.224000000000046,35.65100000000001,,
1.0,7.178999999999974,,6.320999999999998,
1.0,27.28200000000004,135.266,,
1.0,13.969999999999914,,8.1,
1.0,6.592000000000098,,4.25,
1.0,34.7829999999999,112.197,,
1.0,16.7650000000001,,,
