dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,12.977000000000032,42.99199999999996,,
1.0,20.71599999999995,,1.0489999999999995,
1.0,,95.41999999999999,,
1.0,13.378000000000043,131.07200000000003,,
1.0,,88.07999999999998,,
1.0,,89.12900000000002,,
1.0,33.50799999999998,,,
1.0,,88.08000000000001,,
1.0,13.327999999999975,208.667,,
1.0,12.25200000000001,,2.621000000000002,
1.0,,182.452,,
1.0,19.966000000000008,331.35,,
1.0,,,19.923000000000002,
1.0,,102.76000000000005,,
1.0,21.093000000000018,,,
1.0,,222.29799999999997,,
1.0,21.714999999999975,,,
1.0,,153.09199999999998,,
1.0,,88.08100000000002,,
1.0,22.365999999999985,,,
1.0,9.236000000000047,,4.718999999999994,
1.0,,193.98700000000002,,
1.0,22.87299999999999,,1.5720000000000027,
1.0,,277.873,,
1.0,13.209000000000003,49.283000000000015,,
1.0,8.988999999999976,48.23399999999998,,
1.0,14.54000000000002,,,
1.0,12.701000000000022,,6.292000000000002,
1.0,,229.63800000000003,,
