dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,211.812,,
1.0,50.49999999999994,,1.6499999999999986,
1.0,,161.481,,
1.0,,309.33,,
1.0,53.32300000000009,,,
1.0,,166.72299999999998,,
1.0,,,35.652,
1.0,,138.41199999999998,,
1.0,56.76299999999992,,,
1.0,,315.62100000000004,,
1.0,47.200000000000045,,6.292000000000002,
1.0,,287.31,,
1.0,,,,
1.0,,146.80100000000002,,
1.0,,,22.746000000000002,
1.0,,137.363,,
1.0,,197.13299999999998,,
1.0,2.4979999999999336,,37.023,
1.0,,145.752,,
1.0,65.41300000000001,,,
1.0,,214.959,,
1.0,44.28600000000006,,3.145000000000003,
1.0,,,,
1.0,,139.46099999999998,,
1.0,,220.20100000000002,,
1.0,,,8.389000000000001,
1.0,,149.94599999999997,,
1.0,,,,
1.0,,220.201,,
