dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,,,
1.0,,340.78700000000003,,
1.0,,214.95799999999997,,
1.0,,,29.285999999999998,
1.0,,377.488,,
1.0,,219.152,,
1.0,,,29.959000000000003,
1.0,,355.468,,
1.0,,241.17199999999997,,
1.0,28.85899999999998,,,
1.0,,235.92899999999997,,
1.0,,213.90999999999997,,
1.0,28.057000000000016,,,
1.0,,216.00599999999997,,
1.0,29.448000000000036,,,
1.0,,340.78700000000003,,
1.0,,213.90999999999997,,
1.0,29.883999999999958,,,
1.0,28.836000000000013,,,
1.0,,279.97,,
1.0,28.311999999999955,,,
1.0,,406.847,,
1.0,29.884000000000015,,,
1.0,,,28.836,
1.0,,305.135,,
1.0,28.146000000000072,,,
1.0,,249.56100000000004,,
1.0,,,22.021,
1.0,27.525999999999954,,1.5719999999999956,
