0,2
1,52
2,385
3,853
4,954
5,960
6,1021
7,1055
8,1094
9,1097
10,1159
11,1124
12,1085
13,1183
14,1178
15,1222
16,1250
17,1245
18,1237
19,1188
20,1230
21,1144
22,1066
23,1184
24,1186
25,1228
26,1233
27,1225
28,1184
29,1228
30,1194
31,1153
32,1099
33,1196
34,1192
35,1203
36,1228
37,1212
38,1163
39,1224
40,1202
41,1119
42,1069
43,1207
44,1168
45,1233
46,1213
47,1217
48,1187
49,1177
50,1214
51,1137
52,1077
53,1187
54,1177
55,1221
56,1177
57,1157
58,990
59,1159
60,1111
61,1084
62,1087
63,1177
64,1180
65,1189
66,1188
67,1186
68,1196
69,1132
70,1163
71,1094
72,1093
73,1227
74,1208
75,1179
76,1165
77,1137
78,1186
79,1233
80,1199
81,1090
82,1060
83,1206
84,1253
85,1200
86,1165
87,1197
88,1126
89,1200
90,1187
91,1150
92,1088
93,1203
94,1164
95,1190
96,1172
97,1190
98,1216
99,1204
100,1156
101,1202
102,1088
103,1183
104,1170
105,1201
106,1214
107,1238
108,1166
109,1191
110,1163
111,1164
112,1105
113,1182
114,1195
115,1198
116,1132
117,1139
