0,1
1,4
2,101
3,236
4,268
5,282
6,324
7,318
8,306
9,341
10,341
11,316
12,287
13,342
14,359
15,351
16,351
17,340
18,350
19,331
20,329
21,322
22,317
23,351
24,332
25,315
26,305
27,329
28,330
29,345
30,337
31,339
32,308
33,364
34,356
35,344
36,348
37,343
38,333
39,391
40,352
41,338
42,308
43,366
44,349
45,316
46,306
47,359
48,347
49,347
50,375
51,319
52,321
53,340
54,346
55,368
56,357
57,360
58,349
59,350
60,363
61,344
62,314
63,357
64,357
65,326
66,341
67,328
68,308
69,334
70,357
71,347
72,321
73,338
74,339
75,361
76,350
77,358
78,364
79,351
80,358
81,368
82,316
83,380
84,329
85,337
86,338
87,337
88,307
89,365
90,357
91,331
92,317
93,335
94,342
95,352
96,376
97,334
98,338
99,370
100,376
101,326
102,313
103,370
104,343
105,330
106,343
107,325
108,336
109,332
110,351
111,344
112,320
113,348
