Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.0,584.634,159.384,52.953,1881.145
26.0,584.634,330.301,52.953,1881.145
27.0,535.722,12.583,6.291,1881.145
28.0,535.722,241.172,6.291,1881.145
29.0,535.722,423.625,6.291,1881.145
30.0,535.722,779.092,6.291,1881.145
31.0,535.722,77.595,70.23,1881.145
32.0,535.722,264.241,70.23,1881.145
33.0,535.722,596.64,70.23,1881.145
34.0,535.722,772.801,70.23,1881.145
35.0,603.061,248.513,39.424,1881.145
36.0,603.061,452.985,39.424,1881.145
37.0,603.061,633.34,39.424,1881.145
38.0,603.061,147.849,79.692,1881.145
39.0,603.061,334.496,79.692,1881.145
40.0,603.061,525.337,79.692,1881.145
41.0,637.719,51.38,101.188,1881.145
42.0,637.719,242.221,101.188,1881.145
43.0,637.719,566.231,101.188,1881.145
44.0,733.903,31.457,36.176,1881.145
45.0,733.903,239.075,36.176,1881.145
46.0,733.903,599.785,36.176,1881.145
47.0,733.903,53.477,70.779,1881.145
48.0,733.903,263.193,70.779,1881.145
49.0,733.903,615.514,70.779,1881.145
50.0,766.302,92.275,69.73,1881.145
51.0,766.302,420.479,69.73,1881.145
52.0,766.302,648.02,69.73,1881.145
53.0,799.963,145.752,66.585,1881.145
54.0,799.963,500.171,66.585,1881.145
