Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.6,296.174,132.121,10.438,668.991
26.6,296.174,185.598,10.438,668.991
27.6,296.174,41.943,10.486,668.991
28.6,296.174,94.372,10.486,668.991
29.6,296.174,148.898,10.486,668.991
30.6,296.174,203.424,10.486,668.991
31.6,296.174,31.457,10.839,668.991
32.6,296.174,83.886,10.839,668.991
33.6,296.174,135.266,10.839,668.991
34.6,296.174,186.647,10.839,668.991
35.6,296.174,0.0,11.893,668.991
36.6,296.174,52.429,11.893,668.991
37.6,296.174,105.906,11.893,668.991
38.6,296.174,159.384,11.893,668.991
39.6,296.174,213.91,11.893,668.991
40.6,296.174,18.874,11.342,668.991
41.6,296.174,71.303,11.342,668.991
42.6,296.174,125.829,11.342,668.991
43.6,296.174,178.258,11.342,668.991
44.6,296.174,230.687,11.342,668.991
45.6,163.004,25.166,10.486,591.397
46.6,163.004,79.692,10.486,591.397
47.6,163.004,136.315,10.486,591.397
48.6,163.004,190.841,10.486,591.397
49.6,163.004,246.415,10.486,591.397
50.6,129.027,10.486,1.403,591.397
51.6,129.027,63.963,1.403,591.397
52.6,129.027,116.392,1.403,591.397
53.6,129.027,169.869,1.403,591.397
54.6,129.027,220.201,1.403,591.397
55.6,129.027,272.63,1.403,591.397
