Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.6,22,0,8,20
26.6,22,0,9,19
27.6,22,0,9,17
28.6,24,0,8,21
29.6,20,0,9,16
30.6,21,0,9,19
31.6,26,0,9,23
32.6,27,0,9,18
33.6,21,0,9,19
34.6,24,0,9,21
35.6,23,0,9,18
36.6,21,0,10,18
37.6,22,0,10,19
38.6,20,0,9,17
39.6,20,0,7,17
40.6,21,0,9,17
41.6,20,0,10,18
42.6,22,0,9,18
43.6,28,0,8,17
44.6,22,0,8,18
45.6,20,0,8,18
46.6,24,0,9,18
47.6,20,0,8,18
48.6,21,0,9,17
49.6,17,0,9,15
50.6,21,0,7,17
51.6,20,0,9,16
52.6,20,0,8,17
53.6,15,0,8,14
54.6,24,0,10,18
