Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.6,220.273,416.285,91.75,1266.68
26.6,220.273,510.657,91.75,1266.68
27.6,220.273,610.271,91.75,1266.68
28.6,267.076,46.137,46.137,1266.68
29.6,267.076,149.946,46.137,1266.68
30.6,267.076,249.561,46.137,1266.68
31.6,267.076,348.127,46.137,1266.68
32.6,267.076,450.888,46.137,1266.68
33.6,267.076,554.697,46.137,1266.68
34.6,267.076,658.506,46.137,1266.68
35.6,267.076,48.234,47.71,1266.68
36.6,267.076,142.606,47.71,1266.68
37.6,267.076,240.124,47.71,1266.68
38.6,267.076,338.69,47.71,1266.68
39.6,267.076,439.353,47.71,1266.68
40.6,267.076,541.065,47.71,1266.68
41.6,267.076,644.874,47.71,1266.68
42.6,267.076,39.846,47.186,1266.68
43.6,267.076,145.752,47.186,1266.68
44.6,267.076,249.561,47.186,1266.68
45.6,267.076,349.176,47.186,1266.68
46.6,267.076,441.45,47.186,1266.68
47.6,267.076,538.968,47.186,1266.68
48.6,267.076,638.583,47.186,1266.68
49.6,267.076,31.457,47.186,1266.68
50.6,267.076,140.509,47.186,1266.68
51.6,267.076,247.464,47.186,1266.68
52.6,267.076,353.37,47.186,1266.68
53.6,267.076,457.179,47.186,1266.68
54.6,267.076,556.794,47.186,1266.68
