Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.7,17,0,1,15
26.7,35,0,3,31
27.7,53,0,2,52
28.7,16,0,2,13
29.7,64,0,2,62
30.7,23,0,1,20
31.7,15,0,0,13
32.7,71,0,2,69
33.7,16,0,1,13
34.7,32,0,2,30
35.7,53,0,3,51
36.7,18,0,1,12
37.7,63,0,2,61
38.7,28,0,1,24
39.7,15,0,1,12
40.7,73,0,2,72
41.7,16,0,1,14
42.7,36,0,2,33
43.7,53,0,1,51
44.7,15,0,1,13
45.7,63,0,3,60
46.7,24,0,2,21
47.7,14,0,1,12
48.7,73,0,2,67
49.7,17,0,3,14
50.7,36,0,2,34
51.7,53,0,2,47
52.7,14,0,2,13
53.7,65,0,1,62
54.7,25,0,1,21
55.7,15,0,1,12
