Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.7,363.332,324.01,35.652,1194.328
26.7,363.332,267.387,51.38,1194.328
27.7,395.144,99.615,48.759,1194.328
28.7,395.144,185.598,48.759,1194.328
29.7,424.724,339.739,50.332,1194.328
30.7,442.796,32.506,53.477,1194.328
31.7,442.796,124.781,53.477,1194.328
32.7,493.956,18.874,42.467,1194.328
33.7,493.956,106.955,42.467,1194.328
34.7,504.313,176.161,42.992,1194.328
35.7,536.515,206.569,34.757,1194.328
36.7,536.515,292.553,34.757,1194.328
37.7,570.174,226.492,34.603,1194.328
38.7,582.618,114.295,35.652,1194.328
39.7,583.667,205.521,35.652,1194.328
40.7,629.773,121.635,32.506,1194.328
41.7,629.773,209.715,32.506,1194.328
42.7,648.67,72.352,31.982,1194.328
43.7,678.309,3.146,35.127,1194.328
44.7,678.309,105.906,35.127,1194.328
45.7,711.971,116.392,31.976,1194.328
46.7,723.919,91.226,27.787,1194.328
47.7,723.919,186.647,27.787,1194.328
48.7,765.143,222.298,23.039,1194.328
49.7,772.322,52.429,29.36,1194.328
50.7,799.604,187.695,11.534,1194.328
51.7,813.574,164.626,19.634,1194.328
52.7,820.166,37.749,23.884,1194.328
53.7,854.949,149.946,18.295,1194.328
54.7,871.714,2.097,15.272,1194.328
