Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.6,17,0,5,12
26.6,19,0,7,13
27.6,20,0,6,14
28.6,21,0,5,13
29.6,16,0,4,13
30.6,21,0,4,13
31.6,17,0,4,13
32.6,17,0,3,13
33.6,15,0,6,12
34.6,25,0,4,13
35.6,17,0,5,13
36.6,17,0,4,14
37.6,15,0,5,13
38.6,16,0,4,12
39.6,16,0,6,13
40.6,16,0,6,13
41.6,16,0,4,12
42.6,15,0,5,12
43.6,16,0,4,14
44.6,25,0,5,13
45.6,18,0,4,14
46.6,14,0,3,12
47.6,18,0,5,13
48.6,14,0,4,13
49.6,16,0,6,12
50.6,18,0,4,13
51.6,15,0,5,12
52.6,16,0,4,11
53.6,15,0,4,13
54.6,26,0,4,11
