Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.6,25,0,1,21
26.6,28,0,2,23
27.6,27,0,2,23
28.6,30,0,1,23
29.6,33,0,2,22
30.6,26,0,2,22
31.6,23,0,1,21
32.6,28,0,1,23
33.6,33,0,2,21
34.6,25,0,2,22
35.6,25,0,1,23
36.6,24,0,2,22
37.6,31,0,1,28
38.6,26,0,2,22
39.6,30,0,1,24
40.6,24,0,1,22
41.6,30,0,1,22
42.6,27,0,2,23
43.6,25,0,1,23
44.6,27,0,2,23
45.6,24,0,1,22
46.6,29,0,1,25
47.6,26,0,1,23
48.6,26,0,1,22
49.6,28,0,1,24
50.6,23,0,1,21
51.6,26,0,1,23
52.6,24,0,1,22
53.6,23,0,2,21
54.6,26,0,1,22
