Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10700,,,,
11700,62.57900000000001,,6.2909999999999995,27.262999999999977
12700,,31.457,,
13700,,,6.947,329.253
14700,,22.02,19.796999999999997,
15700,16.235,248.51200000000003,4.756000000000004,132.12
16700,15.350999999999999,138.41199999999998,7.339999999999996,140.50900000000001
17700,18.213000000000008,,6.292000000000002,134.21800000000007
18700,40.05199999999999,75.49800000000002,7.339999999999996,128.9749999999999
19700,40.372000000000014,267.38599999999997,,
20700,29.49599999999998,119.53800000000001,,
21700,35.206999999999994,,6.292000000000002,
22700,31.404000000000025,221.25,,
23700,19.09099999999998,354.41900000000004,14.155999999999999,
24700,93.298,,,
25700,,106.95499999999998,,
26700,,,15.728000000000002,
27700,31.812000000000012,,,
28700,,85.98300000000002,,
29700,29.579999999999984,154.14099999999996,1.5730000000000004,
30700,18.072000000000003,,3.144999999999996,
31700,,92.275,,
32700,51.160000000000025,,,
33700,,88.081,,
34700,10.356999999999971,69.206,0.5249999999999986,
35700,32.202,30.407999999999987,,
36700,,85.98400000000001,,
37700,33.65899999999999,,,
38700,12.444000000000074,,1.0489999999999995,
39700,1.0489999999999782,91.22599999999998,,
40700,46.105999999999995,,,
41700,,88.08,,
42700,18.896999999999935,,,
43700,29.63900000000001,,3.145000000000003,
44700,,102.76,,
45700,33.662000000000035,10.48599999999999,,
46700,11.947999999999979,,,
47700,,95.42099999999999,,
48700,41.224000000000046,35.65100000000001,,
49700,7.178999999999974,,6.320999999999998,
50700,27.28200000000004,135.266,,
51700,13.969999999999914,,8.1,
52700,6.592000000000098,,4.25,
53700,34.7829999999999,112.197,,
54700,16.7650000000001,,,
55700,,93.32300000000001,,
56700,35.82099999999991,,0.45699999999999896,
57700,9.576000000000022,,,
58800,13.989000000000033,,,
