Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10900,,,,
11900,,173.015,5.841999999999999,
12900,,,27.802000000000003,
13900,89.12900000000002,355.467,,
14900,,,25.674999999999997,
15900,,,6.8160000000000025,
16900,,387.973,,
17900,30.656000000000006,,,
18900,130.02299999999997,,8.388000000000005,
19900,78.11900000000003,153.09300000000002,,
20900,,,,
21900,,300.94100000000003,,
22900,,212.86100000000005,,
23900,,,64.36,
24900,,363.856,,
25900,71.28900000000004,,,
26900,,211.812,,
27900,50.49999999999994,,1.6499999999999986,
28900,,161.481,,
29900,,309.33,,
30900,53.32300000000009,,,
31900,,166.72299999999998,,
32900,,,35.652,
33900,,138.41199999999998,,
34900,56.76299999999992,,,
35900,,315.62100000000004,,
36900,47.200000000000045,,6.292000000000002,
37900,,287.31,,
38900,,,,
39900,,146.80100000000002,,
40900,,,22.746000000000002,
41900,,137.363,,
42900,,197.13299999999998,,
43900,2.4979999999999336,,37.023,
44900,,145.752,,
45900,65.41300000000001,,,
46900,,214.959,,
47900,44.28600000000006,,3.145000000000003,
48900,,,,
49900,,139.46099999999998,,
50900,,220.20100000000002,,
51900,,,8.389000000000001,
52900,,149.94599999999997,,
53900,,,,
54900,,220.201,,
55900,,,49.114,
56900,52.075000000000045,,,
57900,,137.364,,
58900,,187.69499999999996,,
59900,45.774,,,
