Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,,,1.048,
12600,,89.12899999999999,,146.801
13600,17.132,163.57800000000003,25.426,
14600,88.41699999999999,,,99.61500000000001
15600,15.363,,8.765999999999998,250.60900000000004
16600,35.31200000000001,320.865,18.055999999999997,148.89800000000002
17600,78.45500000000001,,12.353000000000002,219.1529999999999
18600,57.043000000000006,333.447,,
19600,,228.58999999999997,,
20600,24.591000000000008,,8.389000000000003,
21600,25.875999999999976,149.946,,
22600,,92.27499999999998,,
23600,32.375999999999976,,,
24600,,495.976,,
25600,,,22.019999999999996,
26600,33.14000000000004,144.704,,
27600,,94.37199999999999,,
28600,,87.031,,
29600,22.902999999999963,160.433,,
30600,,,20.971999999999994,
31600,,339.739,,
32600,29.156000000000006,,,
33600,,91.226,,
34600,22.783999999999992,,4.7180000000000035,
35600,,89.12899999999999,,
36600,,92.27499999999998,,
37600,25.712999999999965,,,
38700,,96.469,,
39700,14.301000000000045,,,
40700,11.230999999999995,68.15699999999998,1.125,
41700,,94.37200000000001,,
42700,26.187000000000012,,,
43700,,92.27499999999998,,
44700,13.503000000000043,,,
45700,22.948999999999955,,,
46700,,81.78900000000002,,
47700,12.614000000000033,,,
48700,9.630999999999972,147.849,1.6499999999999986,
49700,,92.27499999999998,,
50700,29.744000000000028,,,
51700,,92.27499999999999,,
52700,,95.42099999999999,,
53700,30.535999999999945,,0.5240000000000009,
54700,,93.32300000000001,,
55700,18.10800000000006,62.915000000000006,,
56700,11.928999999999974,,10.485999999999997,
57700,,91.226,,
58700,25.210000000000036,,,
