Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10900,,,,
11900,102.75999999999999,421.528,,
12900,,,20.919,
13900,89.12899999999996,317.718,,
14900,,,66.06099999999999,
15900,20.972000000000037,276.824,,
16900,27.442999999999984,,4.194000000000003,
18000,191.709,,,
19000,,370.148,,
20000,120.06200000000001,,,
21000,,171.967,,
22000,87.18599999999992,,,
23000,,165.67499999999998,,
24000,,176.16,,
25000,,,16.777,
26000,,170.917,,
27000,,,,
28000,,228.589,,
29000,,182.453,,
30000,,355.467,,
31000,,,63.93900000000001,
32000,,186.646,,
33000,,332.399,,
34000,,176.16100000000006,,
35000,67.33900000000006,,,
36000,,204.472,,
37000,,180.35500000000002,,
38000,,,40.267999999999994,
39000,,186.647,,
40000,,190.841,,
41000,34.658000000000015,,21.49600000000001,
42000,,190.841,,
43000,,324.01,,
44000,96.18399999999997,,,
45000,,207.618,,
46000,,360.71,,
47000,,,34.602999999999994,
48000,,209.71599999999998,,
49000,,352.321,,
50000,32.399,,,
51000,,328.20399999999995,,
52000,,227.541,,
53000,33.660999999999945,,,
54000,,354.419,,
55000,32.506000000000085,,,
56000,,220.20100000000002,,
57000,,370.148,,
58000,30.408999999999992,,1.0489999999999924,
59000,,354.419,,
